name,codepoint_hex,glyph
nf-dev-quasar,e87f,
nf-dev-qwik,e880,
nf-dev-r,e881,
nf-dev-rabbitmq,e882,
nf-dev-rails,e73b,
nf-dev-railway,e883,
nf-dev-rancher,e884,
nf-dev-reach,e885,
nf-dev-react,e7ba,
nf-dev-reactbootstrap,e886,
nf-dev-reactnavigation,e887,
nf-dev-reactrouter,e888,
nf-dev-readthedocs,e889,
nf-dev-realm,e88a,
nf-dev-rect,e88b,
nf-dev-redhat,e7bb,
nf-dev-redis,e76d,
nf-dev-redux,e88c,
nf-dev-renpy,e88d,
nf-dev-replit,e88e,
nf-dev-requirejs,e770,
nf-dev-rider,e88f,
nf-dev-rocksdb,e890,
nf-dev-rockylinux,e891,
nf-dev-rollup,e892,
nf-dev-ros,e893,
nf-dev-rspec,e894,
nf-dev-rstudio,e895,
nf-dev-ruby,e739,
nf-dev-rubymine,e896,
nf-dev-rust,e7a8,
nf-dev-rxjs,e897,
nf-dev-safari,e748,
nf-dev-salesforce,e898,
nf-dev-sanity,e899,
nf-dev-sass,e74b,
nf-dev-scala,e737,
nf-dev-scalingo,e89a,
nf-dev-scikitlearn,e89b,
nf-dev-sdl,e89c,
nf-dev-selenium,e89d,
nf-dev-sema,e89e,
nf-dev-sentry,e89f,
nf-dev-sequelize,e8a0,
nf-dev-shopware,e8a1,
nf-dev-shotgrid,e8a2,
nf-dev-sketch,e8a3,
nf-dev-slack,e8a4,
nf-dev-socketio,e8a5,
nf-dev-solidity,e8a6,
nf-dev-solidjs,e8a7,
nf-dev-sonarqube,e8a8,
nf-dev-sourcetree,e8a9,
nf-dev-spack,e8aa,
nf-dev-splunk,e8ab,
nf-dev-spring,e8ac,
nf-dev-spss,e8ad,
nf-dev-spyder,e8ae,
nf-dev-sqlalchemy,e8af,
nf-dev-sqldeveloper,e8b0,
nf-dev-sqlite,e7c4,
nf-dev-ssh,e8b1,
nf-dev-stackoverflow,e710,
nf-dev-stata,e8b2,
nf-dev-storybook,e8b3,
nf-dev-streamlit,e8b4,
nf-dev-stylus,e759,
nf-dev-sublime,e7aa,
nf-dev-subversion,e8b5,
nf-dev-supabase,e8b6,
nf-dev-svelte,e8b7,
nf-dev-swagger,e8b8,
nf-dev-swift,e755,
nf-dev-swiper,e8b9,
nf-dev-symfony,e757,
nf-dev-tailwindcss,e8ba,
nf-dev-tauri,e8bb,
nf-dev-tensorflow,e8bc,
nf-dev-terminal,e795,
nf-dev-terraform,e8bd,
nf-dev-tex,e8be,
nf-dev-thealgorithms,e8bf,
nf-dev-threedsmax,e8c0,
nf-dev-threejs,e8c1,
nf-dev-titaniumsdk,e8c2,
nf-dev-tomcat,e8c3,
nf-dev-tortoisegit,e8c4,
nf-dev-towergit,e8c5,
nf-dev-traefikmesh,e8c6,
nf-dev-traefikproxy,e8c7,
nf-dev-travis,e77e,
nf-dev-trello,e75a,
nf-dev-trpc,e8c8,
nf-dev-twitter,e8c9,
nf-dev-typescript,e8ca,
nf-dev-typo3,e772,
nf-dev-ubuntu,e73a,
nf-dev-uml,e8cb,
nf-dev-unifiedmodelinglanguage,e8cb,
nf-dev-unity,e721,
nf-dev-unix,e8cc,
nf-dev-unrealengine,e8cd,
nf-dev-uwsgi,e8ce,
nf-dev-v8,e8cf,
nf-dev-vagrant,e8d0,
nf-dev-vala,e8d1,
nf-dev-vault,e8d2,
nf-dev-vercel,e8d3,
nf-dev-vertx,e8d4,
nf-dev-vim,e7c5,
nf-dev-visualbasic,e8d5,
nf-dev-visualstudio,e70c,
nf-dev-vite,e8d6,
nf-dev-vitejs,e8d7,
nf-dev-vitess,e8d8,
nf-dev-vitest,e8d9,
nf-dev-vscode,e8da,
nf-dev-vsphere,e8db,
nf-dev-vuejs,e8dc,
nf-dev-vuestorefront,e8dd,
nf-dev-vuetify,e8de,
nf-dev-vyper,e8df,
nf-dev-wasm,e8e0,
nf-dev-webflow,e8e1,
nf-dev-weblate,e8e2,
nf-dev-webpack,e8e3,
nf-dev-webstorm,e8e4,
nf-dev-windows,e70f,
nf-dev-windows11,e8e5,
nf-dev-woocommerce,e8e6,
nf-dev-wordpress,e70b,
nf-dev-xamarin,e8e7,
nf-dev-xcode,e8e8,
nf-dev-xd,e8e9,
nf-dev-xml,e8ea,
nf-dev-yaml,e8eb,
nf-dev-yarn,e8ec,
nf-dev-yii,e782,
nf-dev-yugabytedb,e8ed,
nf-dev-yunohost,e8ee,
nf-dev-zend,e778,
nf-dev-zig,e8ef,
nf-fa-font_awesome,f2b4,
nf-linux-hyprland,f359,
nf-md-arch,f08c7,󰣇
nf-md-bash,f1183,󱆃
nf-md-bluetooth,f00af,󰂯
nf-md-docker,f0868,󰡨
nf-md-nix,f1105,󱄅
nf-md-nodejs,f0399,󰎙
nf-md-podman,f0d3b,󰴻
nf-md-tailwind,f13ff,󱏿
nf-weather-moon_alt_waxing_crescent_1,e3c8,
