name	codepoint_hex	glyph	printf_escape
nf-dev-nimble	e842		\ue842
nf-dev-nixos	e843		\ue843
nf-dev-nodejs	e719		\ue719
nf-dev-nodemon	e844		\ue844
nf-dev-nodewebkit	e845		\ue845
nf-dev-nomad	e846		\ue846
nf-dev-norg	e847		\ue847
nf-dev-notion	e848		\ue848
nf-dev-npm	e71e		\ue71e
nf-dev-nuget	e849		\ue849
nf-dev-numpy	e84a		\ue84a
nf-dev-nuxtjs	e84b		\ue84b
nf-dev-oauth	e84c		\ue84c
nf-dev-objectivec	e84d		\ue84d
nf-dev-ocaml	e84e		\ue84e
nf-dev-ohmyzsh	e84f		\ue84f
nf-dev-okta	e850		\ue850
nf-dev-openal	e851		\ue851
nf-dev-openapi	e852		\ue852
nf-dev-opencl	e853		\ue853
nf-dev-opencv	e854		\ue854
nf-dev-opengl	e855		\ue855
nf-dev-openstack	e856		\ue856
nf-dev-opensuse	e857		\ue857
nf-dev-opentelemetry	e858		\ue858
nf-dev-opera	e746		\ue746
nf-dev-oracle	e859		\ue859
nf-dev-ory	e85a		\ue85a
nf-dev-p5js	e85b		\ue85b
nf-dev-packer	e85c		\ue85c
nf-dev-pandas	e85d		\ue85d
nf-dev-perl	e769		\ue769
nf-dev-pfsense	e85e		\ue85e
nf-dev-phalcon	e85f		\ue85f
nf-dev-phoenix	e860		\ue860
nf-dev-photonengine	e861		\ue861
nf-dev-photoshop	e7b8		\ue7b8
nf-dev-php	e73d		\ue73d
nf-dev-phpstorm	e862		\ue862
nf-dev-playwright	e863		\ue863
nf-dev-plotly	e864		\ue864
nf-dev-pnpm	e865		\ue865
nf-dev-podman	e866		\ue866
nf-dev-poetry	e867		\ue867
nf-dev-polygon	e868		\ue868
nf-dev-portainer	e869		\ue869
nf-dev-postcss	e86a		\ue86a
nf-dev-postgresql	e76e		\ue76e
nf-dev-postman	e86b		\ue86b
nf-dev-powershell	e86c		\ue86c
nf-dev-premierepro	e86d		\ue86d
nf-dev-prisma	e86e		\ue86e
nf-dev-processing	e86f		\ue86f
